template,title_candidate,slot_mapping,slot_scores,SITUATION_top_keywords,TOPIC_top_keywords,SITUATION_top_scores,TOPIC_top_scores,EVENT_top_keywords,EVENT_top_scores,ENG_top_keywords,SERIES_top_keywords,ENG_top_scores,SERIES_top_scores,REACTION_top_keywords,REACTION_top_scores
{TOPIC} {SITUATION},게임 탐험하기,"{'SITUATION': '탐험하기', 'TOPIC': '게임'}","{'SITUATION': 1.9719556352187482, 'TOPIC': 10.797038545902257}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},마인크래프트 탐험하기,"{'SITUATION': '탐험하기', 'TOPIC': '마인크래프트'}","{'SITUATION': 1.9719556352187482, 'TOPIC': 7.72248646885021}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},게임 살펴보기,"{'SITUATION': '살펴보기', 'TOPIC': '게임'}","{'SITUATION': 0.8654333333333333, 'TOPIC': 10.797038545902257}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},마인크래프트 살펴보기,"{'SITUATION': '살펴보기', 'TOPIC': '마인크래프트'}","{'SITUATION': 0.8654333333333333, 'TOPIC': 7.72248646885021}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},게임 전국일주,"{'SITUATION': '전국일주', 'TOPIC': '게임'}","{'SITUATION': 0.7804, 'TOPIC': 10.797038545902257}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},마인크래프트 전국일주,"{'SITUATION': '전국일주', 'TOPIC': '마인크래프트'}","{'SITUATION': 0.7804, 'TOPIC': 7.72248646885021}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},게임 낉여오너라,"{'SITUATION': '낉여오너라', 'TOPIC': '게임'}","{'SITUATION': 0.7717333333333334, 'TOPIC': 10.797038545902257}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},마인크래프트 낉여오너라,"{'SITUATION': '낉여오너라', 'TOPIC': '마인크래프트'}","{'SITUATION': 0.7717333333333334, 'TOPIC': 7.72248646885021}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},게임 하루 탕진,"{'SITUATION': '하루 탕진', 'TOPIC': '게임'}","{'SITUATION': 0.5785, 'TOPIC': 10.797038545902257}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{TOPIC} {SITUATION},마인크래프트 하루 탕진,"{'SITUATION': '하루 탕진', 'TOPIC': '마인크래프트'}","{'SITUATION': 0.5785, 'TOPIC': 7.72248646885021}","['탐험하기', '살펴보기', '전국일주', '낉여오너라', '하루 탕진']","['게임', '마인크래프트']","[1.9719556352187482, 0.8654333333333333, 0.7804, 0.7717333333333334, 0.5785]","[10.797038545902257, 7.72248646885021]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},대결 미래,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '대결', 'TOPIC': '미래'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 4.109974423733986, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},대결 기념일,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '대결', 'TOPIC': '기념일'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 4.109974423733986, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},대결 개유치한,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '대결', 'TOPIC': '개유치한'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 4.109974423733986, 'TOPIC': 1.2569333333333332}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},맞히기 미래,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '맞히기', 'TOPIC': '미래'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 4.109974423733986, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},맞히기 기념일,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '맞히기', 'TOPIC': '기념일'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 4.109974423733986, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},맞히기 개유치한,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '맞히기', 'TOPIC': '개유치한'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 4.109974423733986, 'TOPIC': 1.2569333333333332}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},틀어놓고 미래,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '틀어놓고', 'TOPIC': '미래'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 2.4014153218814025, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},틀어놓고 기념일,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '틀어놓고', 'TOPIC': '기념일'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 2.4014153218814025, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},틀어놓고 개유치한,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '틀어놓고', 'TOPIC': '개유치한'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 2.4014153218814025, 'TOPIC': 1.2569333333333332}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},그냥 내비대로 가주세요 미래,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '그냥 내비대로 가주세요', 'TOPIC': '미래'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 1.2717683586922686, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},그냥 내비대로 가주세요 기념일,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '그냥 내비대로 가주세요', 'TOPIC': '기념일'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 1.2717683586922686, 'TOPIC': 2.5929541456038034}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{SITUATION} {TOPIC},그냥 내비대로 가주세요 개유치한,"{'{SITUATION}': '몰아보기', '{TOPIC}': '단순노동', 'SITUATION': '그냥 내비대로 가주세요', 'TOPIC': '개유치한'}","{'{SITUATION}': 4.338137663096447, '{TOPIC}': 2.355669973749656, 'SITUATION': 1.2717683586922686, 'TOPIC': 1.2569333333333332}","['대결', '맞히기', '틀어놓고', '그냥 내비대로 가주세요']","['미래', '기념일', '개유치한']","[4.109974423733986, 4.109974423733986, 2.4014153218814025, 1.2717683586922686]","[2.5929541456038034, 2.5929541456038034, 1.2569333333333332]",[],[],[],[],[],[],[],[]
{TOPIC} {EVENT},퇴사자 당근마켓 레전드,"{'EVENT': '당근마켓 레전드', 'TOPIC': '퇴사자'}","{'EVENT': 0.8308, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},심연의 끝 당근마켓 레전드,"{'EVENT': '당근마켓 레전드', 'TOPIC': '심연의 끝'}","{'EVENT': 0.8308, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},구원 당근마켓 레전드,"{'EVENT': '당근마켓 레전드', 'TOPIC': '구원'}","{'EVENT': 0.8308, 'TOPIC': 0.6666666666666666}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},퇴사자 걸스나잇,"{'EVENT': '걸스나잇', 'TOPIC': '퇴사자'}","{'EVENT': 0.6609, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},심연의 끝 걸스나잇,"{'EVENT': '걸스나잇', 'TOPIC': '심연의 끝'}","{'EVENT': 0.6609, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},구원 걸스나잇,"{'EVENT': '걸스나잇', 'TOPIC': '구원'}","{'EVENT': 0.6609, 'TOPIC': 0.6666666666666666}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},퇴사자 킬,"{'EVENT': '킬', 'TOPIC': '퇴사자'}","{'EVENT': 0.5, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},심연의 끝 킬,"{'EVENT': '킬', 'TOPIC': '심연의 끝'}","{'EVENT': 0.5, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},구원 킬,"{'EVENT': '킬', 'TOPIC': '구원'}","{'EVENT': 0.5, 'TOPIC': 0.6666666666666666}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},퇴사자 워크샵,"{'EVENT': '워크샵', 'TOPIC': '퇴사자'}","{'EVENT': 0.5, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},심연의 끝 워크샵,"{'EVENT': '워크샵', 'TOPIC': '심연의 끝'}","{'EVENT': 0.5, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},구원 워크샵,"{'EVENT': '워크샵', 'TOPIC': '구원'}","{'EVENT': 0.5, 'TOPIC': 0.6666666666666666}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},퇴사자 Best,"{'EVENT': 'Best', 'TOPIC': '퇴사자'}","{'EVENT': 0.45, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},심연의 끝 Best,"{'EVENT': 'Best', 'TOPIC': '심연의 끝'}","{'EVENT': 0.45, 'TOPIC': 2.583630776545783}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{TOPIC} {EVENT},구원 Best,"{'EVENT': 'Best', 'TOPIC': '구원'}","{'EVENT': 0.45, 'TOPIC': 0.6666666666666666}",[],"['퇴사자', '심연의 끝', '구원']",[],"[2.583630776545783, 2.583630776545783, 0.6666666666666666]","['당근마켓 레전드', '걸스나잇', '킬', '워크샵', 'Best']","[0.8308, 0.6609, 0.5, 0.5, 0.45]",[],[],[],[],[],[]
{SERIES} {TOPIC} {ENG},[한화 이글스] 노래 모음 플리,"{'ENG': '플리', 'SERIES': '한화 이글스', 'TOPIC': '노래 모음'}","{'ENG': 9.873686709490261, 'SERIES': 0.0, 'TOPIC': 0.469}",[],['노래 모음'],[],[0.469],[],[],['플리'],"['한화 이글스', 'KIA 타이거즈', 'LG TWINS']",[9.873686709490261],"[1.6554, 1.6554, 0.4]",[],[]
{SERIES} {TOPIC} {ENG},[KIA 타이거즈] 노래 모음 플리,"{'ENG': '플리', 'SERIES': 'KIA 타이거즈', 'TOPIC': '노래 모음'}","{'ENG': 9.873686709490261, 'SERIES': 0.0, 'TOPIC': 0.469}",[],['노래 모음'],[],[0.469],[],[],['플리'],"['한화 이글스', 'KIA 타이거즈', 'LG TWINS']",[9.873686709490261],"[1.6554, 1.6554, 0.4]",[],[]
{SERIES} {TOPIC} {ENG},[LG TWINS] 노래 모음 플리,"{'ENG': '플리', 'SERIES': 'LG TWINS', 'TOPIC': '노래 모음'}","{'ENG': 9.873686709490261, 'SERIES': 0.0, 'TOPIC': 0.469}",[],['노래 모음'],[],[0.469],[],[],['플리'],"['한화 이글스', 'KIA 타이거즈', 'LG TWINS']",[9.873686709490261],"[1.6554, 1.6554, 0.4]",[],[]
