feature,importance
predicted_views_actual,0.5840120858258083
special_char_count,0.1506873730565656
video_id,0.14128703484312316
title_length,0.06934996853762518
word_count,0.05466353773687771
person_large,0.0
has_text,0.0
person_left,0.0
person_middle,0.0
person_right,0.0
person_small,0.0
person_medium,0.0
text_middle,0.0
text_left,0.0
person_count,0.0
text_right,0.0
text_small,0.0
text_medium,0.0
text_large,0.0
object_count,0.0
duration,0.0
color_pink,0.0
pub_weekday,0.0
brightness,0.0
contrast,0.0
emoji_count,0.0
is_clickbait,0.0
pub_year,0.0
pub_month,0.0
color_red,0.0
subscriber_count,0.0
color_blue,0.0
color_green,0.0
color_yellow,0.0
color_purple,0.0
color_brown,0.0
color_grey,0.0
color_white,0.0
