keyword,freq,score_sum,score_avg
모음,5,5.0,1.0
레전드,4,4.0,1.0
00,3,3.0,1.0
플리,2,2.0,1.0
Playlist,2,2.0,1.0
공개,2,2.0,1.0
노컷,2,2.0,1.0
하이라이트,2,2.0,1.0
추천,2,2.0,1.0
해도,2,2.0,1.0
먹방,1,1.0,1.0
베트남,1,1.0,1.0
부산,1,1.0,1.0
sub,1,1.0,1.0
현지,1,1.0,1.0
스케치,1,1.0,1.0
현장,1,1.0,1.0
맛,1,1.0,1.0
비하인드,1,1.0,1.0
그대로,1,1.0,1.0
브이로그,1,1.0,1.0
출근합니다,1,1.0,1.0
오늘,1,1.0,1.0
첫,1,1.0,1.0
인턴,1,1.0,1.0
감스트,1,1.0,1.0
EN,1,1.0,1.0
비밀,1,1.0,1.0
바삭,1,1.0,1.0
일,1,1.0,1.0
생기는,1,1.0,1.0
가게에서,1,1.0,1.0
돈가스,1,1.0,1.0
영업중,1,1.0,1.0
모먼트,1,1.0,1.0
생일파티,1,1.0,1.0
되는,1,1.0,1.0
로컬,1,1.0,1.0
마인크래프트,1,1.0,1.0
맛집,1,1.0,1.0
투어,1,1.0,1.0
공포주의,1,1.0,1.0
놀기,1,1.0,1.0
빠지게,1,1.0,1.0
창자,1,1.0,1.0
완전,1,1.0,1.0
집에서,1,1.0,1.0
귀신의,1,1.0,1.0
학교축제,1,1.0,1.0
금지된,1,1.0,1.0
Pop,1,1.0,1.0
Wrong,1,1.0,1.0
선곡,1,1.0,1.0
파괴,1,1.0,1.0
분위기,1,1.0,1.0
잘못된,1,1.0,1.0
팝송,1,1.0,1.0
냉터뷰,1,1.0,1.0
총결산,1,1.0,1.0
사나,1,1.0,1.0
시즌2,1,1.0,1.0
사터뷰,1,1.0,1.0
공감합니다,1,1.0,1.0
진짜,1,1.0,1.0
이상하게,1,1.0,1.0
근데도,1,1.0,1.0
순간들,1,1.0,1.0
너무한,1,1.0,1.0
무공해,1,1.0,1.0
웃으면,1,1.0,1.0
안,1,1.0,1.0
노을,1,1.0,1.0
아이유의,1,1.0,1.0
못한,1,1.0,1.0
TWINS,1,1.0,1.0
LG,1,1.0,1.0
주의,1,1.0,1.0
현웃,1,1.0,1.0
대방출,1,1.0,1.0
썰,1,1.0,1.0
실화,1,1.0,1.0
거래,1,1.0,1.0
실제,1,1.0,1.0
당근마켓,1,1.0,1.0
퇴사자,1,1.0,1.0
가봅니다,1,1.0,1.0
코스로,1,1.0,1.0
예상,1,1.0,1.0
응원감성,1,1.0,1.0
드라이브,1,1.0,1.0
기념일,1,1.0,1.0
가주세요,1,1.0,1.0
내비대로,1,1.0,1.0
그냥,1,1.0,1.0
번에,1,1.0,1.0
한,1,1.0,1.0
던전,1,1.0,1.0
보물,1,1.0,1.0
유적과,1,1.0,1.0
숨겨진,1,1.0,1.0
바이옴,1,1.0,1.0
신비한,1,1.0,1.0
노래,1,1.0,1.0
가득,1,1.0,1.0
SUB,1,1.0,1.0
회사생활,1,1.0,1.0
ENG,1,1.0,1.0
탐험하기,1,1.0,1.0
해변,1,1.0,1.0
카페,1,1.0,1.0
코스,1,1.0,1.0
감성,1,1.0,1.0
따뜻한,1,1.0,1.0
혼자여도,1,1.0,1.0
제주도,1,1.0,1.0
않은,1,1.0,1.0
쓸쓸하지,1,1.0,1.0
여행,1,1.0,1.0
공감,1,1.0,1.0
웃픈,1,1.0,1.0
예고,1,1.0,1.0
zip,1,1.0,1.0
명장면,1,1.0,1.0
직장인,1,1.0,1.0
퇴사마려운,1,1.0,1.0
웃소,1,1.0,1.0
폭발,1,1.0,1.0
타격감,1,1.0,1.0
BGM,1,1.0,1.0
몰입도,1,1.0,1.0
전투,1,1.0,1.0
보스전,1,1.0,1.0
플레이리스트,1,1.0,1.0
다크소울,1,1.0,1.0
소름주의,1,1.0,1.0
